freq,unit,indic_de,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,RT,INFMORRT,RO	9.8 	9.4 	9.0 	8.9 	8.2 	7.5 	6.8 	6.5 	6.0 	5.8 	5.6 	5.2 
A,RT,INFMORRT,RS	6.7 	6.3 	6.2 	6.3 	5.7 	5.3 	5.4 	4.7 	4.9 	4.8 	5.0 	4.7 
A,RT,INFMORRT,RU	7.5 	7.3 	: 	8.2 	7.4 	: 	: 	: 	: 	: 	: 	: 
A,RT,INFMORRT,SE	2.5 	2.1 	2.6 	2.7 	2.2 	2.5 	2.5 	2.4 	2.0 	2.1 	2.4 	1.8 
A,RT,INFMORRT,SI	2.5 	2.9 	1.6 	2.9 	1.8 	1.6 	2.0 	2.1 	1.7 	2.1 	2.2 	1.8 
A,RT,INFMORRT,SK	5.7 	4.9 	5.8 	5.5 	5.8 	5.1 	5.4 	4.5 	5.0 	5.1 	5.1 	4.9 
A,RT,INFMORRT,SM	: 	3.1 	0.0 	: 	: 	: 	: 	0.0 	: 	: 	: 	: 
A,RT,INFMORRT,TR	12.0 	11.7 	11.6 	10.8 	11.1 	10.7 	10.0 	9.2 	9.3 	9.1 	: 	: 
A,RT,INFMORRT,UA	9.2 	9.0 	8.4 	8.0 	7.8 	8.1 	7.4 	7.7 	7.1 	7.1 	6.8 	: 
A,RT,INFMORRT,UK	4.2 	4.2 	4.0 	3.9 	3.9 	3.9 	3.8 	3.9 	3.9 	: 	: 	: 
A,RT,INFMORRT,XK	8.8 	13.1 	11.4 	: 	: 	9.7 	8.5 	9.7 	10.6 	8.7 	: 	: 
